Model,Train Accuracy,Eval Accuracy,CV Accuracy,Time
RBF SVM,80.90858416945373,37.02706049910211,36.231884057971016,1.9088683128356934
Gradient Boosting,99.94425863991081,34.35197225834417,31.29877369007804,298.29472970962524
Linear SVM,43.171683389074694,34.17549074246084,33.52842809364549,0.14989280700683594
Logistic Regression,43.86845039018952,33.732738869279835,31.995540691192865,0.2739095687866211
Random Forest,99.94425863991081,33.320948665552045,29.59866220735787,1.9123964309692383
Naive Bayes,35.73021181716834,26.496996718063038,27.369007803790414,0.007422924041748047
KNN (k=7),41.164994425863995,23.800235308687846,23.99665551839465,0.0011487007141113281
Decision Tree,94.3701226309922,21.88680413647904,21.40468227424749,0.6260809898376465
